Age,Income_M_VND,VisitsPerMonth,LuxurySpendRatio,Cluster
33,22.5,3.9,0.33,1
37,19.5,4.1,0.54,1
40,25.8,2.7,0.23,1
52,23.2,3.3,0.23,1
38,29.3,4.6,0.31,1
38,21.8,2.6,0.24,1
34,13.9,2.2,0.37,1
30,58.5,3.2,0.6,2
34,50.2,4.1,0.71,2
23,66.0,3.2,0.74,2
38,29.7,2.8,0.72,2
38,69.8,3.2,0.98,2
33,74.9,1.2,0.92,2
32,47.0,2.6,0.62,2
39,65.7,3.2,0.62,2
53,59.3,2.3,0.66,2
29,83.9,5.1,0.7,2
40,71.5,2.6,0.84,2
36,58.9,3.3,0.5,2
22,34.3,5.0,0.51,1
42,39.9,3.8,0.58,2
38,53.0,5.1,1.0,2
33,47.5,3.2,0.8,2
36,50.1,1.5,0.36,2
33,77.1,0.5,0.62,2
45,62.9,1.8,0.33,2
32,75.3,3.2,0.67,2
27,60.3,3.9,0.57,2
37,58.2,4.0,0.8,2
33,49.8,1.7,0.8,2
48,42.2,2.3,0.86,2
36,62.3,3.4,0.66,2
45,81.2,0.8,0.7,2
36,59.1,2.1,0.78,2
28,71.3,3.2,0.7,2
51,45.2,3.2,0.49,2
33,55.1,3.9,0.47,2
34,59.7,3.1,0.68,2
45,63.4,2.7,0.36,2
45,59.4,2.1,0.86,2
41,59.7,3.3,0.47,2
40,56.7,2.7,0.79,2
49,67.6,3.8,0.57,2
47,66.1,1.6,0.37,2
43,54.1,4.8,0.64,2
38,47.6,2.3,0.56,2
24,48.6,2.6,0.4,2
40,85.5,3.7,0.77,2
34,65.0,3.6,0.62,2
48,73.8,3.5,0.59,2
37,72.4,2.4,0.86,2
36,61.4,0.8,0.38,2
35,65.2,2.8,0.83,2
41,66.3,3.7,0.71,2
35,37.4,3.4,0.66,2
41,66.5,3.9,0.22,2
46,49.9,2.6,0.68,2
38,49.0,2.2,0.55,2
42,64.3,1.8,0.85,2
42,101.8,3.6,0.59,2
42,34.7,3.2,0.39,1
28,29.5,2.9,0.52,1
33,61.5,2.9,0.53,2
40,30.0,2.7,0.66,2
40,57.9,2.6,0.55,2
38,28.7,3.7,0.77,2
23,66.7,2.2,0.71,2
31,59.1,4.5,0.52,2
25,46.1,4.5,0.89,2
47,78.2,4.7,0.64,2
28,62.9,4.2,0.45,2
38,69.4,2.4,0.51,2
42,42.4,3.9,0.81,2
32,65.6,2.9,0.8,2
29,42.9,3.1,0.74,2
36,95.6,3.5,0.46,2
24,73.9,2.8,0.49,2
